"Code du département";"Libellé du département";"Code de la circonscription";"registered";"voted";"whites";"void";"N°Liste 1";"Nuance Liste 1";"Libellé Abrégé Liste 1";"Libellé Etendu Liste 1";"Nom Tête de Liste 1";"Voix 1";"N°Liste 2";"Nuance Liste 2";"Libellé Abrégé Liste 2";"Libellé Etendu Liste 2";"Nom Tête de Liste 2";"Voix 2";"N°Liste 3";"Nuance Liste 3";"Libellé Abrégé Liste 3";"Libellé Etendu Liste 3";"Nom Tête de Liste 3";"Voix 3";"N°Liste 4";"Nuance Liste 4";"Libellé Abrégé Liste 4";"Libellé Etendu Liste 4";"Nom Tête de Liste 4";"Voix 4"
1;"AIN";1;80640;48137;872;745;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16101;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18091;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12328;;;;;;
1;"AIN";2;90376;52849;864;557;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16010;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";20329;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15089;;;;;;
1;"AIN";3;74113;38709;691;547;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";12749;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";16222;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";8500;;;;;;
1;"AIN";4;87227;50861;919;812;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14586;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19774;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";14770;;;;;;
1;"AIN";5;74354;41632;803;725;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";12659;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";15023;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12422;;;;;;
2;"AISNE";1;72089;44546;2462;1405;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";21975;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";18704;;;;;;;;;;;;
2;"AISNE";2;73587;48026;1989;1256;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";26615;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";18166;;;;;;;;;;;;
2;"AISNE";3;68452;42566;1907;1636;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";19531;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";19492;;;;;;;;;;;;
2;"AISNE";4;79046;46328;1995;1208;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";22884;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";20241;;;;;;;;;;;;
2;"AISNE";5;81584;49884;2292;1297;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";23984;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";22311;;;;;;;;;;;;
3;"ALLIER";1;90041;52909;1176;1383;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19273;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19792;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";11285;;;;;;
3;"ALLIER";2;85124;48448;1162;1301;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";17626;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18444;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";9915;;;;;;
3;"ALLIER";3;78540;46246;982;1087;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14272;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19203;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";10702;;;;;;
4;"ALPES DE HAUTE PROVENCE";1;60987;38400;3018;1653;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18439;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";15290;;;;;;;;;;;;
4;"ALPES DE HAUTE PROVENCE";2;64787;40370;3372;1806;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";20112;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";15080;;;;;;;;;;;;
5;"HAUTES ALPES";1;57315;36209;3247;1546;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18610;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";12806;;;;;;;;;;;;
5;"HAUTES ALPES";2;51597;33121;3119;1219;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18257;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";10526;;;;;;;;;;;;
6;"ALPES MARITIMES";1;83504;49637;1835;921;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";30509;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";16372;;;;;;;;;;;;
6;"ALPES MARITIMES";2;84647;53504;2655;1063;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";27610;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";22176;;;;;;;;;;;;
6;"ALPES MARITIMES";3;89584;55184;1998;1052;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";32535;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";19599;;;;;;;;;;;;
6;"ALPES MARITIMES";4;86452;53004;2215;1299;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";25427;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";24063;;;;;;;;;;;;
6;"ALPES MARITIMES";5;88084;56960;1897;1135;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";32166;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";21762;;;;;;;;;;;;
6;"ALPES MARITIMES";6;77810;48198;2193;405;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";25371;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";20229;;;;;;;;;;;;
6;"ALPES MARITIMES";7;91537;56135;2590;584;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";32768;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";20193;;;;;;;;;;;;
6;"ALPES MARITIMES";8;81684;48213;1641;570;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";26501;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";19501;;;;;;;;;;;;
6;"ALPES MARITIMES";9;78277;47924;1986;657;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";26088;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";19193;;;;;;;;;;;;
7;"ARDECHE";1;77814;47312;1085;915;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19078;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";14333;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";11901;;;;;;
7;"ARDECHE";2;92473;56524;1029;951;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19482;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";22550;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12512;;;;;;
7;"ARDECHE";3;77505;47643;1076;910;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";18883;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";16743;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";10031;;;;;;
8;"ARDENNES";1;72918;43041;894;939;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";7551;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";17225;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";16432;;;;;;
8;"ARDENNES";2;64559;35108;674;633;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";7532;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";13115;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";13154;;;;;;
8;"ARDENNES";3;57888;34120;592;981;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";5240;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";15156;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";12151;;;;;;
9;"ARIEGE";1;56702;35145;1196;1034;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";18138;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";5000;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";9777;;;;;;
9;"ARIEGE";2;59952;37383;1059;1122;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";17350;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";6754;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";11098;;;;;;
10;"AUBE";1;64396;39038;789;924;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";5472;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";15496;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";16357;;;;;;
10;"AUBE";2;73488;44536;925;928;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";6921;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";18608;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";17154;;;;;;
10;"AUBE";3;66008;37771;670;807;4;"LDVG";"LISTE DIVERS GAUCHE";"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET";"MASSERET Jean-Pierre";6536;9;"LUD";"LLR";"Unissons nos énergies avec Philippe RICHERT";"RICHERT Philippe";15743;5;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PHILIPPOT Florian";14015;;;;;;
11;"AUDE";1;93838;60399;1606;1755;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";25236;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";8735;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";23067;;;;;;
11;"AUDE";2;86835;52881;1360;1380;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";19956;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";9035;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";21150;;;;;;
11;"AUDE";3;88063;57653;1634;1688;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";25078;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";9523;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";19730;;;;;;
12;"AVEYRON";1;76263;48828;1070;1263;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";19011;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";17058;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";10426;;;;;;
12;"AVEYRON";2;70268;44766;1014;1332;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";21171;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";12182;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";9067;;;;;;
12;"AVEYRON";3;72000;46046;1085;1190;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";18322;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";14149;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";11300;;;;;;
13;"BOUCHES DU RHONE";1;76888;44275;2054;974;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";22056;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";19191;;;;;;;;;;;;
13;"BOUCHES DU RHONE";2;77901;47261;2386;794;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";29007;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";15074;;;;;;;;;;;;
13;"BOUCHES DU RHONE";3;72397;40185;1781;783;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";20382;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";17239;;;;;;;;;;;;
13;"BOUCHES DU RHONE";4;58768;29560;2088;784;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";19784;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";6904;;;;;;;;;;;;
13;"BOUCHES DU RHONE";5;68058;38911;2348;960;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";23329;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";12274;;;;;;;;;;;;
13;"BOUCHES DU RHONE";6;74333;42655;2015;891;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";23302;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";16447;;;;;;;;;;;;
13;"BOUCHES DU RHONE";7;64866;30931;1248;641;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18271;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";10771;;;;;;;;;;;;
13;"BOUCHES DU RHONE";8;97917;59755;3285;1622;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";28898;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";25950;;;;;;;;;;;;
13;"BOUCHES DU RHONE";9;96252;56766;3303;1580;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";28481;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";23402;;;;;;;;;;;;
13;"BOUCHES DU RHONE";10;104062;64175;4037;1667;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";29761;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";28710;;;;;;;;;;;;
13;"BOUCHES DU RHONE";11;87495;51895;2880;1111;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";28807;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";19097;;;;;;;;;;;;
13;"BOUCHES DU RHONE";12;90694;54029;2971;923;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";22899;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";27236;;;;;;;;;;;;
13;"BOUCHES DU RHONE";13;92512;55433;4286;2104;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";24839;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";24204;;;;;;;;;;;;
13;"BOUCHES DU RHONE";14;95242;58292;3535;1396;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";34540;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";18821;;;;;;;;;;;;
13;"BOUCHES DU RHONE";15;103107;65338;3512;2088;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";29832;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";29906;;;;;;;;;;;;
13;"BOUCHES DU RHONE";16;90059;55307;3295;1770;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";24666;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";25576;;;;;;;;;;;;
14;"CALVADOS";1;69438;41958;719;467;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";18176;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";16390;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";6206;;;;;;
14;"CALVADOS";2;66713;38965;704;479;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";17339;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";13340;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";7103;;;;;;
14;"CALVADOS";3;78433;46272;912;852;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";14226;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";16799;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";13483;;;;;;
14;"CALVADOS";4;99016;59482;1021;871;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";17536;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";25311;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";14743;;;;;;
14;"CALVADOS";5;88425;54253;999;1014;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";18337;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";21193;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";12710;;;;;;
14;"CALVADOS";6;91710;56914;1255;1147;5;"LUG";"FORCES DE GAUCHE";"AU SERVICE DE TOUS LES NORMANDS";"MAYER-ROSSIGNOL Nicolas";19898;8;"LUD";"UNION DE LA DROITE";"LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN";"MORIN Hervé";20371;6;"LFN";"BLEU MARINE";"NORMANDIE BLEU MARINE";"BAY Nicolas";14243;;;;;;
15;"CANTAL";1;62929;38109;907;1063;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";13089;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";17575;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";5475;;;;;;
15;"CANTAL";2;55124;31560;630;769;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";8185;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";17194;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";4782;;;;;;
16;"CHARENTE";1;84519;45458;1190;966;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";19621;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";14687;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";8994;;;;;;
16;"CHARENTE";2;84125;46614;1009;1079;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";16415;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";16777;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";11334;;;;;;
16;"CHARENTE";3;91735;53204;1405;1627;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";20772;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";16304;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";13096;;;;;;
17;"CHARENTE MARITIME";1;100754;55150;1098;982;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";24495;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";19653;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";8922;;;;;;
